X,Y,DATA,ORA,LUOGO,Incidenti,lon,lat
13.3249004209405,38.2055401132049,07/01/2016,11.050000000000001,VIALE REGINA ELENA altezza del civico 77,C,13.324900,38.205540
13.3549427623886,38.1301146021123,07/01/2016,12.300000000000001,VIA ALBANESE ENRICO intersezione VIA CALVI,C,13.354943,38.130115
13.3326870614476,38.1901151478237,07/01/2016,16.149999999999999,VIALE MARGHERITA DI SAVOIA intersezione VIALE,C,13.332687,38.190115
13.2953989454355,38.1076375195428,07/01/2016,18.149999999999999,VIA RUFFO DI CALABRIA altezza (spec.) 17,C,13.295399,38.107638
13.3351550593495,38.1167778762584,07/01/2016,18.050000000000001,VIA BONSIGNORE GIOVANNI intersezione con VIA AMORE,C,13.335155,38.116778
13.3471082125846,38.1244083596085,07/01/2016,19.199999999999999,VIA MARCONI GUGLIELMO intersezione con VIA PIAZZI,F,13.347108,38.124408
13.3278954530177,38.1404924215772,07/01/2016,20.000000000000000,VIA OLIVERI MANDALA' EMANUELE altezza del civico di,F,13.327895,38.140492
13.3386269899758,38.1004799119175,08/01/2016,7.100000000000000,VIA ALTOFONTE altezza del civico 435/E,F,13.338627,38.100480
13.3587918671721,38.1345030605312,08/01/2016,9.150000000000000,VIA GIACHERY CARLO altezza (spec.) DISTRUB.Q 8,F,13.358792,38.134503
13.3266390827328,38.1565241474383,08/01/2016,10.400000000000000,VIALE STRASBURGO altezza del civico 352,F,13.326639,38.156524
13.3289309183,38.1166083709359,08/01/2016,13.500000000000000,VIALE REGIONE SICILIANA N.O. carr. centrale DIR. CT,F,13.328931,38.116608
13.3363263683677,38.113919762916,08/01/2016,13.199999999999999,VIA AGOSTINO ANTONINO angolo VIA EUGENIO L'EMIRO,F,13.336326,38.113920
13.3712807754953,38.1003064358254,05/01/2016,17.149999999999999,VIA ORETO intersezione VIA SPICA PIETRO,C,13.371281,38.100306
13.3378702933751,38.1313430798092,05/01/2016,18.000000000000000,PIAZZA ZIINO OTTAVIO s.n.c.,C,13.337870,38.131343
13.3453645532185,38.1091721462347,08/01/2016,19.149999999999999,CORSO CALATAFIMI altezza del civico 86,F,13.345365,38.109172
13.3091713322089,38.0944993944434,08/01/2016,22.449999999999999,CORSO CALATAFIMI altezza del civico 1010,F,13.309171,38.094499
13.3636454778889,38.1102843829798,09/01/2016,5.000000000000000,VIA BATTISTI CESARE intersezione con VIA BIRAGO,F,13.363645,38.110284
13.3540333766401,38.1284437173929,09/01/2016,4.400000000000000,VIA CORLEO SIMONE intersezione con VIA ARCHIMEDE,F,13.354033,38.128444
13.3684739169325,38.1029349412444,09/01/2016,8.100000000000000,VIA MANFREDI LUIGI altezza del civico 6,F,13.368474,38.102935
13.3676213258979,38.1181798664726,09/01/2016,20.250000000000000,VIA VITTORIO EMANUELE intersezione VIA PORTO SALVO,C,13.367621,38.118180
13.3638730860654,38.1440271751366,10/01/2016,2.000000000000000,VIA RIZZO AMMIRAGLIO altezza del civico 37,C,13.363873,38.144027
13.326294188217,38.1716045791545,10/01/2016,4.000000000000000,VIA DE STEFANO ANTONINO di fronte al civico 1,F,13.326294,38.171605
13.3286715300741,38.0729341842192,10/01/2016,3.300000000000000,VIA VILLAGRAZIA intersezione VIA ALTOFONTE,F,13.328672,38.072934
13.3145998388676,38.1267218617823,10/01/2016,4.300000000000000,VIALE LEONARDO DA VINCI altezza del civico 412,C,13.314600,38.126722
13.3414716368212,38.1597264741525,10/01/2016,14.000000000000000,VIALE ERCOLE altezza (spec.) curv M.ta Savoi,C,13.341472,38.159726
13.3291509426464,38.1149623734044,10/01/2016,20.149999999999999,VIALE REGIONE SICILIANA N.O. carr. laterale alt. civi 1130,F,13.329151,38.114962
13.3548588518745,38.1287706924886,11/01/2016,0.450000000000000,VIA ARCHIMEDE intersezione con VIA LA LUMIA ISIDORO,F,13.354859,38.128771
13.3493443696031,38.1233854513681,11/01/2016,2.150000000000000,PIAZZA VIRGILIO intersezione con VIA DANTE,F,13.349344,38.123385
13.358958577063,38.087311282208,11/01/2016,10.150000000000000,VIALE REGIONE SICILIANA S.E. in prossimità di SVINCOLO,F,13.358959,38.087311
13.3760718071393,38.093550911901,11/01/2016,9.400000000000000,VIA SIRILLO BARTOLOMEO altezza del civico 11,F,13.376072,38.093551
13.3336105183473,38.1044370563936,11/01/2016,10.500000000000000,CORSO CALATAFIMI intersezione con VIA PORRAZZI,F,13.333611,38.104437
13.3298983384034,38.1287157271422,08/01/2016,13.199999999999999,VIALE REGIONE SICILIANA N.O. in prossimità di P.le,F,13.329898,38.128716
13.3275433985029,38.1524097333679,11/01/2016,12.500000000000000,VIA MONTE MARIO intersezione con VIA NEBRODI(DEI),C,13.327543,38.152410
13.3408554990595,38.1521660593686,11/01/2016,15.000000000000000,VIA CASSARA' ANTONIO altezza (inters.) VIALE DEL,F,13.340855,38.152166
13.3394906790063,38.1197500182799,07/01/2016,18.000000000000000,VIA PERPIGNANO intersezione PIAZZA PRINCIPE DI,C,13.339491,38.119750
13.3498667291347,38.1331163459856,11/01/2016,16.199999999999999,VIA MARCHESE UGO nr. 74,C,13.349867,38.133116
