X,Y,id,ANNO,MESE,GIORNO,ORA,STRADA_1,MESE_1,GIORNO_1,DATA,ORA_1,STRADA,CIVICO,STRADA_2,TIPO_VA,TIPO_VB
11.2178314895716,43.7791949113685,416573,2011,LUGLIO,LUNEDI',15.45,VLE DELLE MAGNOLIE,LUGLIO,LUNEDÌ,2011/07/11,15.45,VLE DELLE MAGNOLIE,,LNO DEI PIOPPI,VELOCIPEDE,AUTOSNODATO O AUTOARTICOLATO
11.2283200078379,43.7749532439478,416175,2011,GIUGNO,DOMENICA,03.30,PZA PAOLO UCCELLO,GIUGNO,DOMENICA,2011/06/12,03.30,PZA PAOLO UCCELLO,FR. 13,,MOTOCICLO A SOLO,VELOCIPEDE
11.2450936341597,43.7665719541736,416396,2011,GIUGNO,MERCOLEDI',19.15,VIA DE' SERRAGLI,GIUGNO,MERCOLEDÌ,2011/06/29,19.15,VIA DE' SERRAGLI,,VIA D'ARDIGLIONE,MOTOCICLO A SOLO,VELOCIPEDE
11.2919194378207,43.7756086167336,416598,2011,LUGLIO,MARTEDI',16.55,VIA GABRIELE D'ANNUNZIO,LUGLIO,MARTEDÌ,2011/07/12,16.55,VIA GABRIELE D'ANNUNZIO,fronte 29,RONDINELLA,VELOCIPEDE,AUTOBUS O FILOBUS IN SERVIZIO URBANO
11.2428621825841,43.7825689301312,416767,2011,LUGLIO,GIOVEDI',05.15,VLE BELFIORE,LUGLIO,GIOVEDÌ,2011/07/21,05.15,VLE BELFIORE,,VLE FRANCESCO REDI,MOTOCICLO A SOLO,VELOCIPEDE
11.2712609994261,43.7748840173426,416424,2011,GIUGNO,GIOVEDI',14.00,VLE BERNARDO SEGNI,GIUGNO,GIOVEDÌ,2011/06/30,14.00,VLE BERNARDO SEGNI,,,VELOCIPEDE,
11.2422903035831,43.7953645966099,417811,2011,OTTOBRE,LUNEDI',08.15,VIA VITTORIO EMANUELE,OTTOBRE,LUNEDÌ,2011/10/03,08.15,VIA VITTORIO EMANUELE,168,,MOTOCICLO A SOLO,VELOCIPEDE
11.2254125725382,43.7749264666201,416224,2011,GIUGNO,LUNEDI',15.50,VIA DEL SANSOVINO,GIUGNO,LUNEDÌ,2011/06/20,15.50,VIA DEL SANSOVINO,,VIA BERTOLDO DI GIOVANNI,VELOCIPEDE,
11.2191220328328,43.7805227990552,417101,2011,AGOSTO,SABATO,10.30,VLE ABRAMO LINCOLN,AGOSTO,SABATO,2011/08/13,10.30,VLE ABRAMO LINCOLN,,PLE J. FITZGERALD KENNEDY,VELOCIPEDE,
11.2754897969163,43.7831997326396,415583,2011,APRILE,SABATO,18.45,VIA GUGLIELMO MARCONI,APRILE,SABATO,2011/04/30,18.45,VIA GUGLIELMO MARCONI,69/a,,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2436098327324,43.7992440854486,416283,2011,GIUGNO,MARTEDI',05.40,VLE GIOVAN B. MORGAGNI,GIUGNO,MARTEDÌ,2011/06/21,05.40,VLE GIOVAN B. MORGAGNI,,VIA GIROLAMO FRACASTORO,VELOCIPEDE,AUTOVETTURA PRIVATA
11.2227098438949,43.7775488484194,415989,2011,GIUGNO,LUNEDI',18.00,LNO DEI PIOPPI,GIUGNO,LUNEDÌ,2011/06/06,18.00,LNO DEI PIOPPI,,VIA DEGLI AGRIFOGLI,VELOCIPEDE,
11.2131210068273,43.766103027195,415518,2011,MAGGIO,SABATO,11.35,VIA DI SCANDICCI,MAGGIO,SABATO,2011/05/07,11.35,VIA DI SCANDICCI,,VIA DEL FILARETE,VELOCIPEDE,
11.256418982556,43.7745972302324,416963,2011,AGOSTO,MARTEDI',18.15,VIA DE' PUCCI,AGOSTO,MARTEDÌ,2011/08/02,18.15,VIA DE' PUCCI,,,VELOCIPEDE,AUTOBUS DI LINEA O NON IN EXTRAURBANA
11.195171590712,43.7691289722342,417274,2011,AGOSTO,MERCOLEDI',10.45,VIA BACCIO DA MONTELUPO,AGOSTO,MERCOLEDÌ,2011/08/31,10.45,VIA BACCIO DA MONTELUPO,,VIA LIVORNO,VELOCIPEDE,CICLOMOTORE
11.2639293581274,43.7721869900878,417386,2011,SETTEMBRE,MERCOLEDI',20.10,VIA DE' PEPI,SETTEMBRE,MERCOLEDÌ,2011/09/07,20.10,VIA DE' PEPI,,VIA DI MEZZO,AUTOVETTURA PUBBLICA,VELOCIPEDE
